Bật đèn,light
Bật đèn phòng ngủ,light
Bật đèn phòng khách,light
Bật đèn trong nhà,light
Bật đèn phòng trong,light
Bật đèn phòng ngoài,light
Bật đèn gian trong,light
Bật đèn gian ngoài,light
Bật đèn các phòng,light
Bật tất cả các đèn,light
Bật đèn cả nhà,light
Bật đèn nhà tắm,light
Bật đèn phòng tắm,light
Bật đèn để học,light
Bật đèn phòng học,light
Bật đèn cho sáng,light
Bật đèn làm việc,light
Bật đèn ăn cơm,light
Bật hết đèn,light
Bật đèn phòng tắm lên cho sáng,light
Bật đèn ăn cơm cho dễ,light
Bật hết đèn cho sáng,light
Bật đèn để làm việc,light
Bật đèn sáng cho dễ nhìn,light
Bật hết đèn cho sáng,light
Chuyển đèn phòng ngủ sang màu cam,light
Chuyển đèn phòng ngủ sang màu lục,light
Chuyển đèn phòng khách sang màu cam,light
Chuyển đèn phòng khách sang màu lục,light
Chuyển đèn phòng trong sang màu cam,light
Chuyển đèn phòng ngoài sang màu lục,light
Chuyển đèn phòng khách sang màu đỏ,light
Chuyển đèn phòng khách sang màu xanh,light
Chuyển đèn phòng ngủ sang màu đỏ,light
Chuyển đèn phòng ngủ sang màu xanh,light
Chuyển đèn phòng ăn sang màu đỏ,light
Chuyển đèn phòng tắm sang màu xanh,light
Chuyển đèn nhà tắm sang màu đỏ,light
Chuyển đèn phòng học sang màu xanh,light
Chuyển đèn học sang màu đỏ,light
Chuyển đèn làm việc sang màu xanh,light
Chuyển đèn hết sang màu trắng,light
Chuyển đèn phòng khách sang màu đỏ cho đẹp,light
Chuyển đèn phòng khách sang màu xanh cho đẹp,light
Chuyển đèn phòng ngủ sang màu đỏ cho đẹp,light
Chuyển đèn phòng ngủ sang màu xanh cho đẹp,light
Chuyển đèn phòng trong sang màu đỏ cho đẹp,light
Chuyển đèn phòng ngoài sang màu xanh cho đẹp,light
Chuyển đèn phòng tắm sang màu đỏ cho đẹp,light
Chuyển đèn gian ngoài sang màu xanh cho đẹp,light
Chuyển đèn học sang màu đỏ,light
Chuyển đèn làm việc sang màu xanh,light
Đổi đèn phòng ngủ sang màu đỏ,light
Đổi đèn phòng ngủ sang màu xanh,light
Đổi đèn phòng ngủ sang màu vàng,light
Đổi đèn phòng ngủ sang màu cam,light
Đổi đèn phòng ngủ sang màu lục,light
Đổi đèn phòng khách sang màu đỏ,light
Đổi đèn phòng khách sang màu xanh,light
Đổi đèn phòng khách sang màu vàng,light
Đổi đèn phòng khách sang màu cam,light
Đổi đèn phòng khách sang màu lục,light
Đổi đèn phòng khách sang màu xanh cho đẹp,light
Đổi đèn phòng khách sang màu vàng cho đẹp,light
Đổi đèn phòng khách sang màu cam cho đẹp,light
Đổi đèn phòng khách sang màu lục cho đẹp,light
Đổi đèn gian giữa sang màu đỏ,light
Đổi đèn gian giữa sang màu xanh,light
Đổi đèn gian giữa sang màu vàng,light
Đổi đèn gian giữa sang màu cam,light
Đổi đèn gian giữa sang màu lục,light
Đổi đèn phòng ngoài sang màu đỏ,light
Đổi đèn phòng ngoài sang màu xanh,light
Đổi đèn phòng ngoài sang màu vàng,light
Đổi đèn phòng ngoài sang màu cam,light
Đổi đèn phòng ngoài sang màu lục,light
Đổi đèn phòng ngoài sang màu xanh cho đẹp,light
Đổi đèn phòng ngoài sang màu vàng cho đẹp,light
Đổi đèn phòng ngoài sang màu cam cho đẹp,light
Đổi đèn phòng ngoài sang màu lục cho đẹp,light
Tắt đèn,light
Tắt đèn phòng khách,light
Tắt đèn phòng bên,light
Tắt đèn bên ngoài,light
Tắt đèn phòng trong,light
Tắt đèn các phòng,light
Tắt đèn mọi phòng,light
Tắt hết đèn,light
Tắt đèn gian ngoài,light
Tắt đèn phòng ngủ,light
Tắt đèn trong nhà,light
Tắt đèn cả nhà,light
Tắt đèn giữa nhà,light
Tắt đèn phòng tắm,light
Tắt đèn cho mát,light
Tắt hết đèn cho dễ chịu,light
Tắt đèn đi,light
Tắt đèn để ngủ,light
Tắt đèn đi ngủ,light
Tắt đèn cho dịu mắt,light
Tắt hết đèn cho tối,light
Tắt đèn đi chơi,light
Tắt đèn rồi ra ngoài chơi,light
Tắt hết đèn rồi ngủ,light
Tắt các đèn đang sáng,light
Mở cửa ra,door
Mở cửa ra cho sáng,door
Mở cửa nhé,door
Mở cửa thôi,door
Mở cửa đi,door
Mở cửa ra đi cho thoáng đãng,door
Mở cửa ra cho sáng và sạch,door
Mở cửa nhỉ,door
Mở cửa thôi nào,door
Mở cửa đi nào,door
Vừng ơi mở ra,door
Mở cửa ra đi chơi,door
Mở cửa ra ngoài,door
Vừng ơi mở cửa ra,door
Mở cửa ra nào,door
Mở cửa ra nhé,door
Hãy mở cửa ra,door
Mở cửa,door
Đóng cửa,door
Đóng cửa mau,door
Đóng cửa đi,door
Đóng cửa nào,door
Đóng cửa nhé,door
Đóng cửa lại nhé,door
Đóng cửa lại,door
Đóng cửa nhỉ,door
Đóng cửa mau nhé,door
Đóng cửa đi nhỉ,door
Đóng cửa nào để cho ấm,door
Đóng cửa nhé cho ấm,door
Đóng cửa lại nhé cho yên tĩnh,door
Đóng cửa lại cho đỡ ồn,door
Đóng cửa lại cho ấm,door
Cần đóng cửa lại,door
Cần phải đóng cửa lại,door
Mau đóng cửa lại,door
